API区分,試算番号,バージョン,自動更新,アカウント名（契約先/納入先）,請求先（受注先）
I,QJ01555970,1,,1000001850,1000001850
I,QJ01555972,1,,1000015303,1000015341
I,QJ01555974,1,,1000024514,1000027865
I,QJ01556008,1,,1000082928,1000008969
I,QJ01556009,1,,1000026618,1000026618
I,QJ01556012,1,,1000050283,1000022171
I,QJ01556117,1,,1000049643,1000009696
I,QJ01556146,1,,1000080768,1000032810
I,QJ01556164,1,,1000038712,1001000137
I,QJ01556180,1,,1003000398,1001001656
I,QJ01556280,1,,1000003222,1000003222
I,QJ01556281,1,,1000038080,1000038080
I,QJ01556381,1,,1000038070,1000003494
I,QJ01556465,1,,1001000114,1000020554
I,QJ01556470,1,,1000130949,1000327523
I,QJ01556480,1,,1000312151,1000037592
I,QJ01556481,1,,1000050675,1000050675
I,QJ01556482,1,,1000029708,1000008322
I,QJ01556687,1,,1000332267,1000011640
I,QJ01556701,1,,1000074957,1000028450
I,QJ01556702,1,,1000076201,1000013911
I,QJ01556703,1,,1000316486,1000025829
I,QJ01556706,1,,1000310732,1000031163
I,QJ01556707,1,,1000050755,1000050755
I,QJ01556730,1,,1000080063,1000025821
I,QJ01556731,1,,1000076068,1000025829
I,QJ01556792,1,,1000029371,1000306064
I,QJ01556883,1,,1000009262,1000009262
I,QJ01556945,1,,1000327484,1000327484
I,QJ01556947,1,,1000083458,1000013673
I,QJ01557040,1,,1000022260,1000007403
I,QJ01557044,1,,1000018700,1000018700
I,QJ01557314,1,,1000084097,1000016002
I,QJ01557315,1,,1000000667,1000311817
I,QJ01557424,1,,1000015530,1000037210
I,QJ01557425,1,,1000017936,1000017936
I,QJ01557576,1,,1000007137,1000031731
I,QJ01557681,1,,1000024058,1000024058
I,QJ01557683,1,,1000160020,1000032312
I,QJ01557688,1,,1000020157,1000020157
I,QJ01557696,1,,1000080145,1000016675
I,QJ01557718,1,,1000073528,1000305488
I,QJ01557719,1,,1000320844,1000320844
I,QJ01557729,1,,1000021915,1000021915
I,QJ01557812,1,,1000020983,1000020983
I,QJ01557824,1,,1000011276,1000011209
I,QJ01557858,1,,1000308016,1000333753
I,QJ01557860,1,,1000026088,1000033689
I,QJ01557864,1,,1000322317,1000023139
I,QJ01557866,1,,1000003411,1000003411
I,QJ01557918,1,,1000044988,1000027511
I,QJ01557919,1,,1000078238,1000018692
I,QJ01557920,1,,1000019148,1000019148
I,QJ01557921,1,,1003001743,1000333736
I,QJ01557923,1,,1000000815,1000031557
I,QJ01557926,1,,1000023361,1000020776
I,QJ01557969,1,,1000026124,1000026124
I,QJ01557970,1,,1000076663,1000027561
I,QJ01558042,1,,1000023293,1000023293
I,QJ01558043,1,,1000050392,1001001305
I,QJ01558090,1,,1000013060,1000031875
I,QJ01558091,1,,1000075941,1000075941
I,QJ01558092,1,,1000084240,1000014595
I,QJ01558171,1,,1000013064,1000013064
I,QJ01558244,1,,1000037754,1000037754
I,QJ01558306,1,,1003001895,1000008354
I,QJ01558307,1,,1000000557,1000022488
I,QJ01558309,1,,1000082319,1000033688
I,QJ01558314,1,,1000016440,1000016440
I,QJ01558397,1,,1000041393,1000333751
I,QJ01558446,1,,1003000943,1000009879
I,QJ01558506,1,,1000177695,1000177695
I,QJ01558541,1,,1000014265,1000014270
I,QJ01558701,1,,1001000939,1001000939
I,QJ01559001,1,,1000078656,1000029287
I,QJ01559002,1,,1000037975,1000037975
I,QJ01559005,1,,1000082621,1000082621
I,QJ01559015,1,,1000012432,1000031806
I,QJ01559047,1,,1000000810,1000000810
I,QJ01559048,1,,1000081017,1000031060
I,QJ01559059,1,,1000025443,1000025443
I,QJ01559060,1,,1000075177,1000025362
I,QJ01559064,1,,1000015530,1000037210
I,QJ01559082,1,,1000042270,1000028450
I,QJ01559085,1,,1000124465,1000015013
I,QJ01559098,1,,1000050190,1000016675
I,QJ01559099,1,,1000020210,1000020210
I,QJ01559102,1,,1000018400,1000016675
I,QJ01559111,1,,1000010369,1000010326
I,QJ01559136,1,,1000029708,1000008322
I,QJ01559214,1,,1000074017,1000033324
I,QJ01559215,1,,1000331212,1000024147
I,QJ01559217,1,,1000083938,1000027157
I,QJ01559250,1,,1000032243,1000032243
I,QJ01559251,1,,1000031365,1000031365
I,QJ01559254,1,,1000011506,1000011506
I,QJ01559264,1,,1000031986,1000015054
I,QJ01559301,1,,1000014768,1000014747
I,QJ01559304,1,,1000302750,1000004399
I,QJ01559307,1,,1000037329,1000037329
I,QJ01559309,1,,1000322472,1000015013
I,QJ01559401,1,,1000014731,1000031648
I,QJ01559402,1,,1000015480,1000326688
I,QJ01559403,1,,1000189371,1000002785
I,QJ01559450,1,,1003000587,1000026285
I,QJ01559451,1,,1003000283,1000026285
I,QJ01559600,1,,1000050347,1000334791
I,QJ01559601,1,,1000033544,1000033544
I,QJ01559602,1,,1000015432,1000015432
I,QJ01559719,1,,1000319069,1000027865
I,QJ01559720,1,,1000050047,1000027865
I,QJ01559793,1,,1000025002,1000024948
I,QJ01559807,1,,1000083609,1000015548
I,QJ01559823,1,,1000020431,1000020434
I,QJ01559837,1,,1000025008,1000025008
I,QJ01559838,1,,1000031799,1000031799
I,QJ01559911,1,,1000075392,1000016178
I,QJ01560072,1,,1000075164,1000075164
I,QJ01560074,1,,1000020989,1000020989
I,QJ01560075,1,,1000030851,1000030851
I,QJ01560093,1,,1000075598,1000007765
I,QJ01560103,1,,1000076180,1000016675
I,QJ01560126,1,,1000038771,1000021786
I,QJ01560138,1,,1000304959,1000013242
I,QJ01560173,1,,1003001988,1000032630
I,QJ01560177,1,,1000050071,1000011929
I,QJ01560220,1,,1000010063,1000010063
I,QJ01560351,1,,1000009196,1000009196
I,QJ01560449,1,,1003000995,1003000995
I,QJ01560488,1,,1000080798,1000031576
I,QJ01560492,1,,1000007092,1000007092
I,QJ01560493,1,,1000032749,1000032749
I,QJ01560526,1,,1000330682,1000028884
I,QJ01560532,1,,1000258212,1000258212
I,QJ01560533,1,,1000006932,1000030929
I,QJ01560622,1,,1000038171,1000038171
I,QJ01560624,1,,1000031939,1000031939
I,QJ01560627,1,,1000004330,1000004330
I,QJ01560752,1,,1000038712,1001000137
I,QJ01560807,1,,1000009888,1000009888
I,QJ01560899,1,,1003000233,1000026175
I,QJ01560900,1,,1000021727,1000021727
I,QJ01560997,1,,1000308392,1000308392
I,QJ01561092,1,,1000040971,1000010171
I,QJ01561116,1,,1000012724,1000012724
I,QJ01561118,1,,1000078488,1001000303
I,QJ01561158,1,,1000013026,1000013026
I,QJ01561159,1,,1000309762,1000309762
I,QJ01561162,1,,1000327794,1000307167
I,QJ01561203,1,,1001002556,1000033323
I,QJ01561207,1,,1000037622,1000037622
I,QJ01561232,1,,1000081167,1000000467
I,QJ01561263,1,,1000028866,1000005180
I,QJ01561325,1,,1000004848,1000004848
I,QJ01561368,1,,1000079606,1000023914
I,QJ01561370,1,,1000023953,1000023953
I,QJ01561484,1,,1000334802,1000031875
I,QJ01561524,1,,1000037177,1000037177
I,QJ01561575,1,,1000026139,1000003234
I,QJ01561630,1,,1001000876,1000319216
I,QJ01561684,1,,1000012920,1000012920
I,QJ01561687,1,,1000075013,1000031557
I,QJ01561778,1,,1000045711,1000027157
I,QJ01561835,1,,1000334708,1000020544
I,QJ01561976,1,,1000018123,1000018123
I,QJ01561977,1,,1000018156,1000018156
I,QJ01562497,1,,1000039761,1000004601
I,QJ01562555,1,,1000040700,1000304630
I,QJ01562556,1,,1000044335,1000009703
I,QJ01562577,1,,1000083230,1003001873
I,QJ01562912,1,,1000022290,1000022290
I,QJ01562939,1,,1000050595,1000025510
I,QJ01563073,1,,1000020670,1000020622
I,QJ01563232,1,,1000040773,1000015341
I,QJ01563373,1,,1001001010,1001001010
I,QJ01563509,1,,1003000960,1000305488
I,QJ01563529,1,,1000011016,1000011016
I,QJ01563614,1,,1000014618,1000017162
I,QJ01563644,1,,1000013663,1000013663
I,QJ01563800,1,,1000009659,1000009659
I,QJ01563814,1,,1000050143,1000016675
I,QJ01563825,1,,1000082670,1000032979
I,QJ01563827,1,,1000024747,1000024747
I,QJ01563860,1,,1000225675,1000014371
I,QJ01563888,1,,1000314949,1000314949
I,QJ01563976,1,,1003001616,1000016879
I,QJ01564020,1,,1000305291,1000031875
I,QJ01564290,1,,1000146535,1000017337
I,QJ01564346,1,,1003002038,1003002038
I,QJ01564355,1,,1000007589,1000007589
I,QJ01564367,1,,1000042659,1000310786
I,QJ01564401,1,,1000043067,1000331147
I,QJ01564489,1,,1000025891,1000025891
I,QJ01564626,1,,1000014829,1000014829
I,QJ01564692,1,,1000133698,1000025669
I,QJ01564971,1,,1000019875,1000029273
I,QJ01565073,1,,1000009100,1000009100
I,QJ01565085,1,,1000262793,1000003494
I,QJ01565086,1,,1000022094,1000022488
I,QJ01565306,1,,1000080746,1000025177
I,QJ01565693,1,,1000103241,1000015092
I,QJ01565724,1,,1000335216,1000031557
I,QJ01565760,1,,1000085292,1000025175
I,QJ01565761,1,,1000085272,1000025217
I,QJ01565762,1,,1000045479,1000025175
I,QJ01565763,1,,1000009305,1000009305
I,QJ01565791,1,,1000082564,1000031875
I,QJ01565938,1,,1000014118,1000032312
I,QJ01565939,1,,1000024481,1000024481
I,QJ01565978,1,,1000050969,1000333168
I,QJ01566065,1,,1000012304,1000012304
I,QJ01566264,1,,1000298150,1000009710
I,QJ01566265,1,,1000112131,1000009710
I,QJ01566325,1,,1000021711,1000021711
I,QJ01566374,1,,1000024778,1000024778
I,QJ01566376,1,,1003001226,1000032445
I,QJ01566377,1,,1000049265,1000049265
I,QJ01566378,1,,1000084677,1000020544
I,QJ01566412,1,,1000076212,1000008191
I,QJ01566413,1,,1000282128,1000282128
I,QJ01566414,1,,1000236816,1000236816
I,QJ01566415,1,,1000078638,1000008050
I,QJ01566462,1,,1000081063,1000081063
I,QJ01566463,1,,1000032801,1000008050
I,QJ01566464,1,,1000012348,1000008051
I,QJ01566810,1,,1000110839,1000110839
I,QJ01566927,1,,1000332353,1000332353
I,QJ01566955,1,,1000015219,1000023476
I,QJ01566956,1,,1000026198,1000026198
I,QJ01566976,1,,1000026250,1000026250
I,QJ01567077,1,,1000125348,1000125348
I,QJ01567078,1,,1000303062,1000303062
I,QJ01567079,1,,1000274686,1000091886
I,QJ01567080,1,,1000327941,1000327941
I,QJ01567081,1,,1000304968,1000308023
I,QJ01567103,1,,1000031858,1000031858
I,QJ01567104,1,,1000030026,1000005228
I,QJ01567111,1,,1000332040,1000332040
I,QJ01567113,1,,1000025914,1000025914
I,QJ01567132,1,,1000082551,1000008816
I,QJ01567134,1,,1000013212,1000013212
I,QJ01567135,1,,1000049127,1000037387
I,QJ01567136,1,,1001000833,1001000833
I,QJ01567153,1,,1000326276,1000008096
I,QJ01567165,1,,1000315513,1000009703
I,QJ01567167,1,,1000049397,1000024141
I,QJ01567185,1,,1003001560,1000027511
I,QJ01567189,1,,1000314652,1000314652
I,QJ01567258,1,,1000334735,1000334735
I,QJ01567376,1,,1000031737,1000031737
I,QJ01567510,1,,1000037663,1000037663
I,QJ01567644,1,,1000304881,1000019107
I,QJ01567727,1,,1000006638,1000006638
I,QJ01567728,1,,1001002556,1000033323
I,QJ01569492,1,,1000029345,1000029345
I,QJ01570056,1,,1000073750,1000022488
I,QJ01570074,1,,1000000723,1000000723
